Date,Country,Status,AQI
2023-08-10,Turkey,Unhealthy for Sensitive Groups,103
2023-08-10,Turkmenistan,Moderate,86
2023-08-10,Uganda,Good,7
2023-08-10,Ukraine,Good,39
2023-08-10,United Arab Emirates,Unhealthy,151
2023-08-10,United Kingdom of Great Britain and Northern Ireland,Very Unhealthy,210
2023-08-10,United States of America,Hazardous,474
2023-08-10,Uzbekistan,Good,28
2023-08-10,Vatican,Good,34
2023-08-10,Venezuela,Good,26
2023-08-10,Vietnam,Unhealthy for Sensitive Groups,142
2023-08-10,Zambia,Moderate,79
